symbol,name,exchange,category,price,crawled_date
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,HNX,Tài chính,6.6,2025-04-11
VIH,Công ty Cổ phần Viglacera Hà Nội,HOSE,Bất động sản và Xây dựng,11.0,2025-04-11
VIM,Công ty Cổ phần Khoáng sản Viglacera,HOSE,Nguyên vật liệu,17.6,2025-04-11
VIN,CTCP Giao nhận Kho vận Ngoại thương Việt Nam ,HOSE,Hàng tiêu dùng,16.0,2025-04-11
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,HOSE,Năng lượng,13.1,2025-04-11
VIR,Công ty cổ phần Du lịch Quốc tế Vũng Tàu,HOSE,Dịch vụ,3.0,2025-04-11
VIT,Công ty Cổ phần Viglacera Tiên Sơn,HNX,Bất động sản và Xây dựng,19.2,2025-04-11
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,HOSE,Dịch vụ,8.3,2025-04-11
VIX,Công ty cổ phần Chứng khoán VIX,HOSE,Tài chính,11.9,2025-04-11
VJC,Công ty cổ phần Hàng không VietJet,HOSE,Công nghiệp,85.4,2025-04-11
VKC,Công ty cổ phần VKC Holdings,HOSE,Công nghiệp,0.8,2025-04-11
VKP,Công ty Cổ phần Nhựa Tân Hóa,HOSE,Nguyên vật liệu,0.5,2025-04-11
VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn  Lang,HNX,Dịch vụ,12.4,2025-04-11
VLB,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,HOSE,Bất động sản và Xây dựng,41.6,2025-04-11
VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP,HOSE,Nông nghiệp,15.8,2025-04-11
VLD,Công ty Cổ phần Bất Động Sản Viettronics,UPCOM,,0.0,2025-04-11
VLF,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,HOSE,Nông nghiệp,1.0,2025-04-11
VLG,CTCP Vinalines Logistics - Việt Nam,HOSE,Công nghiệp,8.6,2025-04-11
VLP,Công ty Cổ phần Công trình công cộng Vĩnh Long,HOSE,Dịch vụ,1.1,2025-04-11
VLW,Công ty Cổ phần Cấp nước Vĩnh Long,HOSE,Dịch vụ,28.0,2025-04-11
VMA,Công ty cổ phần Công nghiệp Ô tô – Vinacomin,HOSE,Công nghiệp,3.6,2025-04-11
VMC,Công ty Cổ phần Vimeco,HNX,Bất động sản và Xây dựng,7.0,2025-04-11
VMD,Công ty cổ phần Y Dược phẩm Vimedimex,HOSE,Y tế,16.25,2025-04-11
VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,HOSE,Năng lượng,4.0,2025-04-11
VMK,Công ty cổ phần Vimarko,HOSE,,20.0,2025-04-11
VMS,CTCP Phát triển Hàng hải,HNX,Công nghiệp,19.8,2025-04-11
VMT,Công ty cổ phần Giao nhận Vận tải miền Trung,HOSE,Công nghiệp,10.6,2025-04-11
VNA,Công ty Cổ phần Vận tải Biển Vinaship,HOSE,Công nghiệp,21.2,2025-04-11
VNB,CTCP Sách Việt Nam,HOSE,Hàng tiêu dùng,13.5,2025-04-11
VNC,Công ty Cổ phần Tập đoàn Vinacontrol,HNX,Dịch vụ,58.0,2025-04-11
VND,Công ty cổ phần Chứng khoán VNDIRECT,HOSE,Tài chính,14.4,2025-04-11
VNE,Tổng công ty Cổ phần Xây dựng điện Việt Nam,HOSE,Bất động sản và Xây dựng,2.69,2025-04-11
VNF,Công ty cổ phần Vinafreight,HNX,Công nghiệp,13.7,2025-04-11
VNG,Công ty Cổ phần Du lịch Thành Thành Công,HOSE,Dịch vụ,8.25,2025-04-11
VNH,Công ty Cổ phần Đầu tư Việt Việt Nhật,HOSE,Nông nghiệp,1.2,2025-04-11
VNL,Công ty cổ phần Logistics Vinalink,HOSE,Công nghiệp,17.9,2025-04-11
VNM,Công ty Cổ phần Sữa Việt Nam,HOSE,Hàng tiêu dùng,57.5,2025-04-11
VNP,Công ty cổ phần Nhựa Việt Nam,HOSE,Hàng tiêu dùng,11.1,2025-04-11
VNR,Tổng Công ty Cổ phần Tái bảo hiểm quốc gia Việt Nam,HNX,Tài chính,22.9,2025-04-11
VNS,Công ty Cổ phần Ánh Dương Việt Nam,HOSE,Công nghiệp,10.25,2025-04-11
VNT,Công ty cổ phần Giao nhận Vận tải Ngoại thương,HNX,Công nghiệp,31.3,2025-04-11
VNX,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại,HOSE,Dịch vụ,8.3,2025-04-11
VNY,Công ty Cổ phần Thuốc Thú y Trung ương I ,HOSE,Nông nghiệp,5.5,2025-04-11
VNZ,Công ty cổ phần VNG,HOSE,Công nghệ,356.0,2025-04-11
VOC,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - CTCP,HOSE,Hàng tiêu dùng,15.8,2025-04-11
VOS,Công ty Cổ phần Vận tải biển Việt Nam,HOSE,Công nghiệp,12.4,2025-04-11
VPA,CTCP Vận tải Hóa dầu VP,HOSE,Công nghiệp,3.2,2025-04-11
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,HOSE,Tài chính,17.45,2025-04-11
VPC,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,HOSE,Dịch vụ,1.6,2025-04-11
VPD,Công ty cổ phần Phát triển Điện lực Việt Nam,HOSE,Năng lượng,25.5,2025-04-11
VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,HOSE,Nguyên vật liệu,10.45,2025-04-11
VPH,Công ty Cổ phần Vạn Phát Hưng,HOSE,Bất động sản và Xây dựng,5.87,2025-04-11
VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,HOSE,Bất động sản và Xây dựng,59.5,2025-04-11
VPR,Công ty cổ phần VINAPRINT,HOSE,Dịch vụ,17.5,2025-04-11
VPS,CTCP Thuốc sát trùng Việt Nam,HOSE,Nông nghiệp,9.65,2025-04-11
VPW,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,HOSE,Dịch vụ,9.6,2025-04-11
VQC,Công ty Cổ phần Giám định Vinacomin,HOSE,Dịch vụ,12.8,2025-04-11
VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,HOSE,Bất động sản và Xây dựng,12.55,2025-04-11
VRE,Công ty Cổ phần Vincom Retail,HOSE,Bất động sản và Xây dựng,19.4,2025-04-11
VRG,CTCP Phát triển đô thị và Khu công nghiệp Cao su Việt Nam,HOSE,Công nghiệp,16.6,2025-04-11
VSA,Công ty cổ phần Đại lý Hàng hải Việt Nam  ,HNX,Công nghiệp,23.5,2025-04-11
VSC,Công ty cổ phần Tập đoàn Container Việt Nam,HOSE,Công nghiệp,15.8,2025-04-11
