,0
ONW,2
OPC,1
PAC,0
PAI,0
PAP,1
PAS,0
PAT,0
PBC,2
PBP,0
PBT,0
PC1,2
PCC,2
PCE,0
PCF,0
PCG,0
PCH,1
PCM,1
PDB,0
PDR,2
PDV,0
PEC,2
PEG,0
PEN,2
PEQ,0
PET,0
PFI,2
PGC,0
PGD,0
PGI,2
PGN,0
PGS,0
PGT,1
PHN,0
PHR,1
PIS,0
PIT,0
PJC,0
PJS,0
PJT,0
PLA,1
PLC,0
PLE,2
PLO,0
PLP,0
PLX,0
PMB,0
PMC,1
PMG,0
PMJ,0
PMP,0
PMT,0
PMW,1
PNC,0
PND,0
PNG,1
PNJ,0
PNP,0
PNT,1
POB,0
POM,0
POS,0
POT,2
POV,0
PPE,1
PPH,1
PPS,1
PPY,0
PQN,0
PRC,0
PRE,2
PRO,1
PRT,1
PSB,1
PSC,0
PSD,0
PSE,0
PSH,2
PSI,2
PSL,1
PSN,0
PSP,1
PSW,0
PTB,0
PTE,2
PTG,0
PTH,0
PTI,1
PTL,1
PTO,0
PTP,1
PTS,0
PTT,0
PTV,1
PV2,1
PVB,1
PVC,0
PVD,1
PVG,0
PVH,2
PVI,2
PVL,2
PVM,0
PVO,0
PVS,1
PVT,1
PVY,2
PWA,2
PWS,1
PX1,2
PXC,2
PXS,2
PXT,2
QCG,2
QHD,0
QHW,1
QNP,1
QNS,1
QNT,1
QNU,0
QNW,1
QPH,1
QSP,1
QST,0
QTC,0
QTP,0
RAL,1
RAT,0
RBC,0
RCC,2
RCD,1
RCL,1
RDP,0
REE,1
RTB,1
S4A,1
S55,2
S72,2
S99,2
SAB,1
SAC,0
SAL,1
SAM,1
SAS,1
SAV,0
SB1,0
SBA,1
SBB,0
SBD,0
SBF,1
SBG,0
SBH,1
SBL,1
SBM,1
SBR,1
SBT,2
SBV,1
SC5,0
SCD,2
SCO,2
SCY,1
SD5,0
SD6,2
SD9,2
SDA,1
SDC,1
SDG,0
SDK,0
SDT,2
SDU,2
SDV,0
SEA,1
SEB,1
SED,0
SEP,0
SFC,0
SFG,0
SFI,0
SGD,0
SGI,1
SGN,1
SGP,1
SGS,1
SGT,2
SHE,0
SHG,2
SHI,0
SHN,0
SHS,1
SHX,1
SIC,2
SID,1
SIG,2
SIV,1
SJD,1
SJE,2
SJF,1
SJG,2
SJS,2
SKG,1
SKH,0
SKN,1
SKV,0
SLD,1
SLS,1
SMA,2
SMC,0
SMN,0
SMT,0
SNC,0
SNZ,1
SP2,2
SPB,0
SPD,0
SPH,0
SPI,1
SPM,1
SPT,1
SPV,0
SRA,1
SRC,0
SRF,2
SRT,2
SSF,2
SSH,2
SSM,0
SSN,2
ST8,1
STC,0
STG,1
STH,1
STK,1
STP,0
STS,1
STW,1
SVD,0
SVG,1
SVH,2
SVJ,0
SVN,1
SVT,1
SWC,1
SZB,1
SZC,2
SZE,1
SZG,2
SZL,2
TA3,2
TA6,2
TA9,0
TAN,1
TAR,0
TAW,0
TB8,0
TBD,0
TBH,2
TBR,1
TBX,1
TC6,0
TCD,2
TCJ,2
TCK,2
TCL,0
TCM,1
TCR,0
TCW,0
TDB,1
TDC,2
TDF,1
TDG,0
TDH,2
TDI,0
TDL,0
TDN,0
TDS,0
TDT,0
TDW,0
TED,0
TEL,2
TET,1
TFC,0
TGP,0
THB,0
THD,1
THG,0
THM,1
THN,1
THP,0
THS,0
THT,0
THU,0
THW,0
TID,2
TIG,1
TIP,1
TIS,2
TIX,1
TJC,1
TKA,0
TKR,1
TKU,0
TL4,2
TLD,1
TLH,0
TLI,0
TLP,0
TMB,0
TMG,0
TMP,1
TMS,1
TMT,2
TMW,1
TMX,0
TN1,1
TNA,0
TNB,0
TNC,1
TNG,0
TNH,1
TNI,0
TNP,1
TNS,0
TNT,1
TNW,2
TOP,1
TOS,2
TOW,1
TPC,0
TPH,2
TPP,0
TPS,1
TQN,0
TQW,1
TR1,0
TRA,1
TRC,1
TRS,0
TRT,0
TS3,2
TSB,0
TSC,1
TSD,0
TSG,0
TSH,1
TSJ,1
